order_id,customer_id,order_date,status
1001,9432,2023-06-18,Completed
1002,603,2023-03-14,Processing
1003,1938,2023-09-27,Completed
1004,8122,2023-09-21,Processing
1005,8218,2023-11-28,Completed
1006,6813,2023-03-08,Completed
1007,12872,2023-09-16,Completed
1008,1068,2023-12-05,Completed
1009,13402,2023-05-04,Processing
1010,5253,2023-08-12,Completed
1011,13473,2023-06-23,Completed
1012,5864,2023-09-27,Completed
1013,380,2023-05-21,Completed
1014,9477,2023-05-16,Completed
1015,5503,2023-08-18,Processing
1016,12657,2023-04-12,Completed
1017,3183,2023-10-29,Completed
1018,3748,2023-10-14,Completed
1019,5197,2023-04-01,Completed
1020,10449,2023-07-28,Completed
1021,5133,2023-02-04,Processing
1022,6041,2023-03-03,Completed
1023,13882,2023-06-01,Completed
1024,14210,2023-03-06,Completed
1025,12120,2023-08-09,Completed
1026,4121,2023-12-12,Completed
1027,8738,2023-10-27,Completed
1028,5260,2023-12-21,Completed
1029,8467,2023-02-20,Completed
1030,11634,2023-04-18,Completed
1031,10462,2023-12-10,Completed
1032,11301,2023-06-23,Cancelled
1033,2923,2023-10-16,Completed
1034,13441,2023-07-11,Completed
1035,3388,2023-12-23,Completed
1036,5443,2023-06-16,Completed
1037,5553,2023-09-01,Completed
1038,14554,2023-09-12,Completed
1039,10063,2023-02-27,Completed
1040,4014,2023-01-26,Completed
1041,5368,2023-04-27,Completed
1042,8303,2023-08-30,Completed
1043,6960,2023-08-18,Completed
1044,9948,2023-11-27,Completed
1045,12996,2023-09-10,Completed
1046,6291,2023-04-03,Completed
1047,9560,2023-08-09,Completed
1048,9721,2023-07-14,Completed
1049,552,2023-07-20,Completed
1050,134,2023-08-15,Completed
1051,6608,2023-02-26,Completed
1052,11104,2023-03-11,Completed
1053,10206,2023-09-05,Completed
1054,11455,2023-03-14,Completed
1055,13475,2023-09-12,Completed
1056,6600,2023-09-21,Completed
1057,13373,2023-04-01,Completed
1058,5125,2023-05-06,Completed
1059,1061,2023-10-17,Completed
1060,10700,2023-08-28,Completed
1061,7385,2023-11-21,Completed
1062,14049,2023-01-10,Completed
1063,10215,2023-07-31,Completed
1064,14040,2023-01-22,Completed
1065,2187,2023-06-06,Processing
1066,2666,2023-06-08,Completed
1067,3171,2023-09-19,Completed
1068,10920,2023-04-20,Completed
1069,11528,2023-09-20,Completed
1070,2647,2023-12-19,Completed
1071,596,2023-01-13,Completed
1072,4107,2023-03-04,Completed
1073,10567,2023-01-24,Completed
1074,5818,2023-12-16,Processing
1075,3422,2023-12-19,Completed
1076,14715,2023-12-06,Completed
1077,2279,2023-01-19,Completed
1078,1165,2023-12-05,Completed
1079,618,2023-08-18,Completed
1080,13053,2023-03-29,Completed
1081,12337,2023-03-10,Completed
1082,451,2023-05-30,Completed
1083,9991,2023-11-12,Processing
1084,12779,2023-10-05,Completed
1085,7373,2023-04-02,Completed
1086,1893,2023-05-25,Completed
1087,5529,2023-12-17,Completed
1088,2455,2023-06-24,Completed
1089,13363,2023-05-25,Completed
1090,10415,2023-07-10,Completed
1091,3809,2023-05-15,Completed
1092,9477,2023-01-29,Completed
1093,10720,2023-08-25,Completed
1094,1758,2023-07-19,Completed
