refund_id,order_id,refund_date,refund_amount,reason
1,28846,2023-07-30,77.06,Changed Mind
2,10554,2023-11-17,46.33,Defective
3,5236,2023-09-23,145.56,Defective
4,43776,2023-11-28,120.1,Changed Mind
5,17370,2023-12-03,138.85,Changed Mind
6,55481,2023-12-14,152.03,Changed Mind
7,52031,2023-11-25,142.36,Wrong Item
8,3552,2023-05-15,171.02,Wrong Item
9,34199,2023-12-12,196.0,Wrong Item
10,1116,2023-05-29,29.36,Wrong Item
11,28497,2023-03-11,78.63,Defective
12,19086,2023-10-09,67.02,Defective
13,38035,2023-07-06,117.83,Wrong Item
14,47797,2023-05-11,105.75,Defective
15,30458,2023-10-07,50.68,Wrong Item
16,8745,2023-03-10,60.02,Wrong Item
17,44188,2023-02-02,182.17,Wrong Item
18,3014,2023-03-01,195.44,Defective
19,36700,2023-10-01,199.55,Defective
20,21861,2023-06-21,165.38,Wrong Item
21,36752,2023-04-20,65.99,Changed Mind
22,11585,2023-02-03,172.49,Defective
23,40165,2023-10-30,134.25,Changed Mind
24,30187,2023-01-08,64.48,Changed Mind
25,35346,2023-07-13,83.93,Wrong Item
26,31313,2023-12-07,84.39,Wrong Item
27,57290,2023-11-13,184.8,Wrong Item
28,40531,2023-05-06,20.96,Wrong Item
29,45622,2023-09-17,74.53,Changed Mind
30,58373,2023-11-13,156.82,Changed Mind
31,33476,2023-06-17,111.78,Defective
32,27436,2023-09-30,191.54,Wrong Item
33,60337,2023-12-08,66.93,Wrong Item
34,27237,2023-05-09,98.18,Changed Mind
35,6900,2023-07-08,198.16,Changed Mind
36,6689,2023-01-14,118.61,Changed Mind
37,22547,2023-01-15,126.56,Wrong Item
38,38279,2023-01-10,147.17,Defective
39,19114,2023-11-04,195.95,Changed Mind
40,9375,2023-12-20,54.13,Wrong Item
41,60242,2023-12-26,54.66,Changed Mind
42,7794,2023-06-18,57.39,Changed Mind
43,35583,2023-03-03,155.52,Wrong Item
44,43242,2023-11-26,122.5,Changed Mind
45,9828,2023-03-15,118.42,Defective
46,27436,2023-03-31,85.99,Changed Mind
47,39952,2023-11-07,192.06,Defective
48,54698,2023-10-09,106.49,Wrong Item
49,44275,2023-04-03,150.48,Wrong Item
50,34441,2023-03-23,12.32,Wrong Item
51,9831,2023-12-13,84.47,Wrong Item
52,21872,2023-04-26,173.55,Defective
53,53459,2023-12-30,120.12,Wrong Item
54,32580,2023-06-12,131.4,Changed Mind
55,50342,2023-10-08,90.36,Defective
56,56055,2023-11-10,38.12,Defective
57,2579,2023-03-20,123.87,Defective
58,34977,2023-04-15,141.53,Defective
59,51531,2023-10-14,138.09,Defective
60,60362,2023-12-09,174.24,Defective
61,52847,2023-07-06,122.31,Changed Mind
62,48579,2023-11-02,147.78,Defective
63,44499,2023-08-20,163.25,Changed Mind
64,47052,2023-06-04,181.15,Changed Mind
65,37408,2023-02-03,53.17,Changed Mind
66,55304,2023-04-07,162.43,Wrong Item
67,47728,2023-06-13,111.82,Changed Mind
68,41185,2023-08-27,38.22,Changed Mind
69,39320,2023-01-06,191.28,Wrong Item
70,23151,2023-07-24,186.03,Wrong Item
71,5919,2023-08-03,181.68,Wrong Item
72,36280,2023-09-16,31.75,Defective
73,42732,2023-05-23,164.22,Changed Mind
74,24524,2023-09-13,181.8,Changed Mind
75,18569,2023-03-24,12.24,Changed Mind
76,24707,2023-04-10,76.6,Changed Mind
77,53484,2023-09-18,93.23,Wrong Item
78,50677,2023-06-15,19.1,Changed Mind
79,38905,2023-12-04,130.85,Defective
80,49944,2023-05-11,81.1,Wrong Item
81,12668,2023-07-15,164.64,Defective
82,33242,2023-08-14,132.41,Changed Mind
83,28380,2023-11-21,132.05,Wrong Item
84,37098,2023-01-04,172.7,Defective
85,36197,2023-11-05,43.35,Wrong Item
86,24052,2023-01-21,98.26,Wrong Item
87,51248,2023-05-20,118.3,Wrong Item
88,1715,2023-06-08,44.36,Changed Mind
89,12986,2023-07-23,48.77,Wrong Item
90,55025,2023-05-07,193.17,Changed Mind
91,15993,2023-03-27,20.75,Changed Mind
92,58110,2023-08-01,51.27,Defective
93,60618,2023-09-18,122.6,Changed Mind
94,21646,2023-11-05,45.56,Defective
95,2871,2023-10-15,92.59,Wrong Item
96,43310,2023-06-15,185.46,Changed Mind
97,41729,2023-06-08,149.53,Changed Mind
98,53296,2023-02-20,154.95,Changed Mind
99,2974,2023-11-03,70.07,Changed Mind
100,17212,2023-12-21,131.57,Defective
101,21614,2023-06-25,44.05,Defective
102,44504,2023-08-01,61.05,Wrong Item
103,53929,2023-10-09,187.16,Wrong Item
104,13234,2023-12-23,52.82,Wrong Item
105,59550,2023-03-10,193.45,Defective
106,4905,2023-04-26,24.69,Changed Mind
107,27647,2023-02-28,119.85,Changed Mind
108,7198,2023-05-09,163.03,Wrong Item
109,51380,2023-10-25,154.59,Defective
110,34804,2023-07-07,69.26,Defective
111,47858,2023-05-04,179.94,Changed Mind
112,31337,2023-01-08,146.77,Changed Mind
113,3435,2023-01-01,133.2,Changed Mind
114,2922,2023-05-02,172.97,Wrong Item
115,16868,2023-02-15,30.6,Wrong Item
116,50425,2023-07-02,31.13,Defective
117,43468,2023-11-07,167.35,Changed Mind
118,57170,2023-01-14,58.7,Defective
119,29923,2023-05-15,107.21,Changed Mind
120,44581,2023-04-16,61.79,Changed Mind
121,41587,2023-04-02,95.93,Changed Mind
122,54407,2023-07-24,186.13,Wrong Item
123,4989,2023-08-27,125.77,Changed Mind
124,53329,2023-11-19,96.03,Wrong Item
125,8850,2023-08-13,58.76,Wrong Item
126,18975,2023-12-21,184.47,Changed Mind
127,26729,2023-09-09,80.4,Wrong Item
128,45988,2023-07-05,127.09,Wrong Item
129,11973,2023-08-27,59.53,Wrong Item
130,21521,2023-06-04,149.95,Wrong Item
131,14436,2023-07-23,166.44,Wrong Item
132,47171,2023-10-29,170.8,Changed Mind
133,45368,2023-02-18,130.65,Defective
134,19198,2023-11-07,119.06,Wrong Item
135,51494,2023-07-05,43.33,Changed Mind
136,39376,2023-05-06,177.13,Wrong Item
137,28573,2023-10-16,66.05,Wrong Item
138,5896,2023-08-11,11.38,Wrong Item
139,5792,2023-05-31,170.02,Changed Mind
140,21552,2023-04-11,122.22,Wrong Item
141,40917,2023-08-05,132.7,Defective
142,60800,2023-03-03,62.97,Changed Mind
143,41151,2023-09-03,165.74,Changed Mind
144,14419,2023-10-24,135.03,Changed Mind
145,25129,2023-08-17,101.36,Defective
146,16440,2023-02-07,127.68,Wrong Item
147,52616,2023-09-01,109.28,Changed Mind
148,18436,2023-07-21,162.87,Wrong Item
149,53821,2023-08-06,89.19,Wrong Item
150,5867,2023-12-10,189.9,Defective
151,21724,2023-02-07,24.42,Defective
152,47169,2023-10-09,64.74,Defective
153,5862,2023-03-07,141.72,Changed Mind
154,42344,2023-04-09,35.55,Wrong Item
155,7372,2023-12-20,153.21,Changed Mind
156,7408,2023-02-17,123.2,Wrong Item
157,51696,2023-02-26,196.73,Changed Mind
158,11260,2023-07-10,131.71,Defective
159,36793,2023-07-26,26.91,Defective
160,48533,2023-12-12,61.19,Wrong Item
161,31685,2023-10-27,90.12,Changed Mind
162,5065,2023-04-03,42.94,Defective
163,22597,2023-12-19,165.7,Changed Mind
164,22524,2023-11-11,197.12,Defective
165,58515,2023-06-17,12.8,Wrong Item
166,45864,2023-01-04,114.25,Wrong Item
167,48683,2023-04-09,153.06,Defective
168,26934,2023-11-28,156.06,Changed Mind
169,4585,2023-05-16,158.35,Defective
170,35933,2023-12-29,18.47,Changed Mind
171,54602,2023-06-01,20.44,Changed Mind
172,2847,2023-07-20,162.38,Defective
173,28093,2023-11-29,79.08,Defective
174,47367,2023-12-07,137.7,Wrong Item
175,37702,2023-02-26,117.68,Defective
176,24670,2023-02-26,194.48,Defective
177,17799,2023-05-06,72.9,Wrong Item
178,34151,2023-02-17,160.92,Defective
179,25326,2023-04-25,95.75,Wrong Item
180,48415,2023-07-25,49.42,Changed Mind
181,11770,2023-05-02,91.2,Changed Mind
182,2971,2023-03-02,24.63,Changed Mind
183,36621,2023-01-09,22.51,Changed Mind
184,6227,2023-05-30,192.78,Changed Mind
185,32788,2023-08-21,30.46,Wrong Item
186,1579,2023-09-04,131.12,Changed Mind
187,17385,2023-12-28,87.57,Changed Mind
188,28988,2023-06-27,137.43,Defective
189,2692,2023-10-04,199.57,Wrong Item
190,18297,2023-08-07,51.75,Wrong Item
191,11027,2023-03-03,18.86,Wrong Item
192,51538,2023-05-12,31.96,Defective
193,18855,2023-05-09,82.76,Defective
194,38761,2023-06-21,62.82,Changed Mind
195,48474,2023-03-02,98.31,Defective
196,16567,2023-05-28,196.15,Changed Mind
